step 0: train loss 10.9899, val loss 10.9894
iter 1010: loss 6.6871, time 155.89ms, mfu 98.53%
iter 1020: loss 6.8508, time 156.33ms, mfu 99.45%
iter 1030: loss 6.9445, time 155.87ms, mfu 100.30%
iter 1040: loss 6.6738, time 155.64ms, mfu 101.09%
iter 1050: loss 6.4109, time 154.99ms, mfu 101.84%
iter 1060: loss 6.6482, time 155.32ms, mfu 102.49%
iter 1070: loss 6.4390, time 156.75ms, mfu 102.98%
iter 1080: loss 6.5665, time 155.62ms, mfu 103.50%
iter 1090: loss 6.5821, time 157.02ms, mfu 103.87%
iter 1100: loss 6.8443, time 155.43ms, mfu 104.31%
iter 1110: loss 6.3806, time 156.32ms, mfu 104.65%
iter 1120: loss 6.5140, time 156.10ms, mfu 104.97%
iter 1130: loss 6.3701, time 156.37ms, mfu 105.23%
iter 1140: loss 6.4857, time 155.28ms, mfu 105.55%
iter 1150: loss 6.5404, time 156.12ms, mfu 105.78%
iter 1160: loss 6.1487, time 155.52ms, mfu 106.02%
iter 1170: loss 6.5101, time 156.10ms, mfu 106.20%
iter 1180: loss 6.7112, time 156.39ms, mfu 106.35%
iter 1190: loss 6.1944, time 156.13ms, mfu 106.49%
iter 1200: loss 6.3201, time 156.94ms, mfu 106.57%
iter 1210: loss 6.3475, time 156.00ms, mfu 106.70%
iter 1220: loss 6.2396, time 155.86ms, mfu 106.83%
iter 1230: loss 6.2842, time 155.52ms, mfu 106.97%
iter 1240: loss 6.3663, time 155.98ms, mfu 107.07%
iter 1250: loss 6.2063, time 156.28ms, mfu 107.13%
iter 1260: loss 6.3600, time 155.86ms, mfu 107.22%
iter 1270: loss 6.0776, time 156.47ms, mfu 107.25%
iter 1280: loss 6.0760, time 155.96ms, mfu 107.32%
iter 1290: loss 6.0805, time 156.73ms, mfu 107.33%
iter 1300: loss 6.0500, time 155.58ms, mfu 107.41%
iter 1310: loss 6.2672, time 155.86ms, mfu 107.47%
iter 1320: loss 6.0946, time 155.62ms, mfu 107.54%
iter 1330: loss 6.1049, time 155.57ms, mfu 107.61%
iter 1340: loss 5.9103, time 155.79ms, mfu 107.65%
iter 1350: loss 6.0130, time 155.82ms, mfu 107.69%
iter 1360: loss 5.8203, time 155.63ms, mfu 107.74%
iter 1370: loss 6.1021, time 155.61ms, mfu 107.78%
iter 1380: loss 5.7520, time 155.45ms, mfu 107.83%
iter 1390: loss 5.8097, time 156.42ms, mfu 107.81%
iter 1400: loss 5.8650, time 157.16ms, mfu 107.74%
iter 1410: loss 5.6398, time 155.84ms, mfu 107.76%
iter 1420: loss 5.8365, time 155.91ms, mfu 107.78%
iter 1430: loss 5.7795, time 155.48ms, mfu 107.83%
iter 1440: loss 5.8238, time 155.51ms, mfu 107.87%
iter 1450: loss 5.8363, time 157.15ms, mfu 107.80%
iter 1460: loss 5.6433, time 155.33ms, mfu 107.85%
iter 1470: loss 5.6730, time 156.66ms, mfu 107.81%
iter 1480: loss 5.5991, time 155.22ms, mfu 107.88%
iter 1490: loss 5.5785, time 155.31ms, mfu 107.93%
iter 1500: loss 5.5913, time 155.97ms, mfu 107.93%
iter 1510: loss 5.6352, time 156.64ms, mfu 107.88%
iter 1520: loss 5.7267, time 155.75ms, mfu 107.90%
iter 1530: loss 5.5964, time 155.60ms, mfu 107.93%
iter 1540: loss 5.4832, time 155.81ms, mfu 107.94%
iter 1550: loss 5.7044, time 155.73ms, mfu 107.95%
iter 1560: loss 5.3306, time 155.40ms, mfu 107.99%
iter 1570: loss 5.8411, time 156.51ms, mfu 107.94%
iter 1580: loss 5.4568, time 155.06ms, mfu 108.01%
iter 1590: loss 5.2699, time 156.71ms, mfu 107.95%
iter 1600: loss 5.5598, time 155.81ms, mfu 107.95%
iter 1610: loss 5.4739, time 156.00ms, mfu 107.95%
iter 1620: loss 5.4398, time 155.40ms, mfu 107.99%
iter 1630: loss 5.3284, time 155.43ms, mfu 108.02%
iter 1640: loss 5.3424, time 156.08ms, mfu 108.00%
iter 1650: loss 5.2808, time 155.98ms, mfu 107.99%
iter 1660: loss 5.2488, time 156.01ms, mfu 107.98%
iter 1670: loss 5.5506, time 155.80ms, mfu 107.99%
iter 1680: loss 5.1661, time 155.72ms, mfu 108.00%
iter 1690: loss 5.5103, time 155.82ms, mfu 108.00%
iter 1700: loss 5.1904, time 155.27ms, mfu 108.04%
iter 1710: loss 5.4757, time 155.64ms, mfu 108.05%
iter 1720: loss 5.2973, time 156.49ms, mfu 108.00%
iter 1730: loss 4.9842, time 155.38ms, mfu 108.04%
iter 1740: loss 5.3239, time 156.29ms, mfu 108.00%
iter 1750: loss 5.4128, time 156.16ms, mfu 107.98%
iter 1760: loss 5.1871, time 155.46ms, mfu 108.01%
iter 1770: loss 5.0164, time 156.29ms, mfu 107.98%
iter 1780: loss 4.9957, time 155.55ms, mfu 108.00%
iter 1790: loss 4.8580, time 157.03ms, mfu 107.92%
iter 1800: loss 5.1868, time 155.66ms, mfu 107.94%
iter 1810: loss 4.9667, time 156.13ms, mfu 107.93%
iter 1820: loss 4.8439, time 156.34ms, mfu 107.90%
iter 1830: loss 5.1532, time 155.54ms, mfu 107.94%
iter 1840: loss 4.8582, time 156.19ms, mfu 107.92%
iter 1850: loss 4.9614, time 156.12ms, mfu 107.91%
iter 1860: loss 5.0116, time 156.46ms, mfu 107.88%
iter 1870: loss 4.7662, time 155.92ms, mfu 107.88%
iter 1880: loss 4.8541, time 155.02ms, mfu 107.95%
iter 1890: loss 5.0204, time 156.06ms, mfu 107.94%
iter 1900: loss 4.9801, time 155.84ms, mfu 107.95%
iter 1910: loss 5.2824, time 156.35ms, mfu 107.92%
iter 1920: loss 4.9093, time 156.82ms, mfu 107.86%
iter 1930: loss 5.0433, time 156.14ms, mfu 107.86%
iter 1940: loss 5.0518, time 156.39ms, mfu 107.83%
iter 1950: loss 4.8377, time 155.64ms, mfu 107.87%
iter 1960: loss 4.9213, time 156.32ms, mfu 107.85%
iter 1970: loss 5.0208, time 155.89ms, mfu 107.86%
iter 1980: loss 5.0299, time 156.47ms, mfu 107.83%
iter 1990: loss 4.8934, time 155.58ms, mfu 107.87%
step 2000: train loss 4.8158, val loss 4.8563
saving checkpoint to out_openwebtext
iter 2000: loss 4.5960, time 5118.32ms, mfu 97.41%
iter 2010: loss 4.7552, time 155.14ms, mfu 98.52%
iter 2020: loss 4.8912, time 156.07ms, mfu 99.45%
iter 2030: loss 4.6447, time 155.31ms, mfu 100.34%
iter 2040: loss 4.7286, time 155.65ms, mfu 101.12%
iter 2050: loss 4.7595, time 156.53ms, mfu 101.77%
iter 2060: loss 5.0356, time 155.88ms, mfu 102.39%
iter 2070: loss 5.0050, time 155.45ms, mfu 102.98%
iter 2080: loss 4.8165, time 156.05ms, mfu 103.47%
iter 2090: loss 4.7291, time 156.34ms, mfu 103.89%
iter 2100: loss 4.6764, time 155.87ms, mfu 104.30%
iter 2110: loss 4.8266, time 155.73ms, mfu 104.68%
iter 2120: loss 4.4127, time 155.33ms, mfu 105.04%
iter 2130: loss 4.8647, time 155.53ms, mfu 105.36%
iter 2140: loss 4.5789, time 155.43ms, mfu 105.66%
iter 2150: loss 4.7534, time 156.65ms, mfu 105.84%
iter 2160: loss 4.6368, time 155.70ms, mfu 106.06%
iter 2170: loss 4.5790, time 156.02ms, mfu 106.25%
iter 2180: loss 4.5562, time 156.85ms, mfu 106.35%
iter 2190: loss 4.2169, time 155.77ms, mfu 106.52%
iter 2200: loss 4.6082, time 155.87ms, mfu 106.67%
iter 2210: loss 4.4004, time 156.29ms, mfu 106.77%
iter 2220: loss 4.7671, time 155.41ms, mfu 106.93%
iter 2230: loss 4.6817, time 155.59ms, mfu 107.05%
iter 2240: loss 4.4714, time 155.87ms, mfu 107.15%
iter 2250: loss 4.4335, time 157.18ms, mfu 107.14%
iter 2260: loss 4.5707, time 155.40ms, mfu 107.26%
iter 2270: loss 4.6261, time 155.66ms, mfu 107.35%
iter 2280: loss 4.4444, time 155.73ms, mfu 107.42%
iter 2290: loss 4.4428, time 155.95ms, mfu 107.47%
iter 2300: loss 4.3198, time 155.98ms, mfu 107.52%
iter 2310: loss 4.3663, time 155.57ms, mfu 107.58%
iter 2320: loss 4.3506, time 156.67ms, mfu 107.57%
iter 2330: loss 4.2320, time 155.89ms, mfu 107.61%
iter 2340: loss 4.4429, time 155.70ms, mfu 107.66%
iter 2350: loss 4.1689, time 156.34ms, mfu 107.66%
iter 2360: loss 4.3212, time 157.28ms, mfu 107.60%
iter 2370: loss 4.0886, time 156.28ms, mfu 107.61%
iter 2380: loss 4.3854, time 155.93ms, mfu 107.64%
iter 2390: loss 4.1937, time 155.67ms, mfu 107.69%
iter 2400: loss 4.2286, time 156.26ms, mfu 107.69%
iter 2410: loss 4.4261, time 156.20ms, mfu 107.70%
iter 2420: loss 4.2817, time 156.88ms, mfu 107.66%
iter 2430: loss 4.2590, time 155.81ms, mfu 107.70%
iter 2440: loss 4.7437, time 156.40ms, mfu 107.69%
iter 2450: loss 4.4048, time 155.98ms, mfu 107.71%
iter 2460: loss 4.1954, time 156.42ms, mfu 107.70%
iter 2470: loss 4.2386, time 155.33ms, mfu 107.77%
iter 2480: loss 4.4368, time 155.67ms, mfu 107.80%
iter 2490: loss 4.3750, time 156.70ms, mfu 107.76%
iter 2500: loss 4.3798, time 156.75ms, mfu 107.73%
iter 2510: loss 3.9764, time 156.13ms, mfu 107.74%
iter 2520: loss 4.2654, time 156.38ms, mfu 107.73%
iter 2530: loss 4.0775, time 157.01ms, mfu 107.67%
iter 2540: loss 4.1881, time 156.23ms, mfu 107.68%
iter 2550: loss 4.1980, time 156.26ms, mfu 107.68%
iter 2560: loss 4.2092, time 155.91ms, mfu 107.71%
iter 2570: loss 4.0958, time 155.92ms, mfu 107.74%
iter 2580: loss 4.4007, time 156.15ms, mfu 107.74%
iter 2590: loss 4.2831, time 157.15ms, mfu 107.68%
iter 2600: loss 4.1667, time 155.94ms, mfu 107.71%
iter 2610: loss 4.1392, time 155.63ms, mfu 107.75%
iter 2620: loss 4.3580, time 155.64ms, mfu 107.79%
iter 2630: loss 4.1236, time 155.65ms, mfu 107.83%
iter 2640: loss 4.1540, time 156.78ms, mfu 107.78%
iter 2650: loss 4.2282, time 156.21ms, mfu 107.78%
iter 2660: loss 4.1637, time 156.01ms, mfu 107.79%
iter 2670: loss 3.9506, time 156.93ms, mfu 107.74%
iter 2680: loss 3.9270, time 156.78ms, mfu 107.70%
iter 2690: loss 4.2201, time 156.94ms, mfu 107.65%
iter 2700: loss 4.3284, time 156.77ms, mfu 107.63%
iter 2710: loss 4.2049, time 156.00ms, mfu 107.65%
iter 2720: loss 3.8853, time 155.93ms, mfu 107.68%
iter 2730: loss 4.2360, time 155.37ms, mfu 107.75%
iter 2740: loss 3.9882, time 155.76ms, mfu 107.78%
iter 2750: loss 4.1339, time 156.59ms, mfu 107.75%
iter 2760: loss 4.1421, time 156.60ms, mfu 107.72%
iter 2770: loss 4.2687, time 156.53ms, mfu 107.71%
iter 2780: loss 4.2098, time 156.00ms, mfu 107.73%
iter 2790: loss 3.9571, time 155.53ms, mfu 107.77%
iter 2800: loss 4.0965, time 155.94ms, mfu 107.79%
iter 2810: loss 4.0187, time 156.10ms, mfu 107.80%
iter 2820: loss 4.1584, time 155.96ms, mfu 107.81%
iter 2830: loss 3.9004, time 155.97ms, mfu 107.82%
iter 2840: loss 4.0251, time 155.90ms, mfu 107.83%
iter 2850: loss 4.0796, time 155.37ms, mfu 107.89%
iter 2860: loss 4.1952, time 155.88ms, mfu 107.90%
iter 2870: loss 4.0562, time 156.34ms, mfu 107.87%
iter 2880: loss 3.9215, time 156.73ms, mfu 107.82%
iter 2890: loss 3.9793, time 155.60ms, mfu 107.86%
iter 2900: loss 3.8498, time 156.48ms, mfu 107.83%
iter 2910: loss 4.0651, time 156.68ms, mfu 107.79%
iter 2920: loss 4.0288, time 156.21ms, mfu 107.79%
iter 2930: loss 3.9529, time 157.23ms, mfu 107.71%
iter 2940: loss 3.9183, time 155.64ms, mfu 107.76%
iter 2950: loss 4.2751, time 156.37ms, mfu 107.75%
iter 2960: loss 3.8746, time 157.15ms, mfu 107.68%
iter 2970: loss 4.0132, time 156.36ms, mfu 107.68%
iter 2980: loss 3.9396, time 156.05ms, mfu 107.70%
iter 2990: loss 4.0244, time 155.37ms, mfu 107.76%
step 3000: train loss 3.9694, val loss 4.0407
saving checkpoint to out_openwebtext
iter 3000: loss 4.0979, time 5044.64ms, mfu 97.32%
iter 3010: loss 4.0269, time 155.35ms, mfu 98.42%
iter 3020: loss 4.0072, time 155.96ms, mfu 99.37%
iter 3030: loss 4.1145, time 156.54ms, mfu 100.19%
iter 3040: loss 3.9791, time 156.29ms, mfu 100.94%
iter 3050: loss 3.9635, time 155.60ms, mfu 101.66%
iter 3060: loss 3.7811, time 156.70ms, mfu 102.24%
iter 3070: loss 4.0909, time 156.03ms, mfu 102.80%
iter 3080: loss 3.8984, time 156.01ms, mfu 103.31%
iter 3090: loss 4.0838, time 155.82ms, mfu 103.78%
iter 3100: loss 4.1121, time 156.51ms, mfu 104.16%
iter 3110: loss 3.6973, time 155.83ms, mfu 104.54%
iter 3120: loss 3.9176, time 156.04ms, mfu 104.88%
iter 3130: loss 3.8931, time 156.41ms, mfu 105.15%
iter 3140: loss 4.0359, time 156.15ms, mfu 105.42%
iter 3150: loss 3.9037, time 155.61ms, mfu 105.69%
iter 3160: loss 3.7340, time 157.15ms, mfu 105.83%
iter 3170: loss 3.9479, time 156.83ms, mfu 105.98%
iter 3180: loss 3.9106, time 156.67ms, mfu 106.13%
iter 3190: loss 3.9662, time 156.09ms, mfu 106.30%
iter 3200: loss 3.8896, time 156.41ms, mfu 106.43%
iter 3210: loss 4.0683, time 155.71ms, mfu 106.60%
iter 3220: loss 3.8889, time 155.86ms, mfu 106.74%
iter 3230: loss 4.0257, time 157.02ms, mfu 106.78%
iter 3240: loss 3.8589, time 156.50ms, mfu 106.86%
iter 3250: loss 3.7755, time 156.07ms, mfu 106.96%
iter 3260: loss 4.2028, time 155.61ms, mfu 107.08%
iter 3270: loss 3.9439, time 157.01ms, mfu 107.09%
iter 3280: loss 3.8395, time 156.69ms, mfu 107.13%
iter 3290: loss 3.7211, time 155.93ms, mfu 107.21%
iter 3300: loss 3.7943, time 156.91ms, mfu 107.22%
iter 3310: loss 3.8201, time 156.73ms, mfu 107.23%
iter 3320: loss 3.9422, time 156.46ms, mfu 107.27%
iter 3330: loss 4.0007, time 156.56ms, mfu 107.29%
iter 3340: loss 3.8677, time 157.18ms, mfu 107.27%
iter 3350: loss 3.9399, time 155.75ms, mfu 107.35%
iter 3360: loss 3.9418, time 155.63ms, mfu 107.43%
iter 3370: loss 3.8613, time 155.68ms, mfu 107.50%
iter 3380: loss 3.8808, time 155.39ms, mfu 107.58%
iter 3390: loss 3.8113, time 155.88ms, mfu 107.62%
iter 3400: loss 4.1108, time 156.15ms, mfu 107.64%
iter 3410: loss 3.9491, time 155.62ms, mfu 107.69%
iter 3420: loss 3.7419, time 156.00ms, mfu 107.71%
iter 3430: loss 3.6965, time 157.70ms, mfu 107.62%
iter 3440: loss 3.7895, time 155.84ms, mfu 107.66%
iter 3450: loss 3.9663, time 156.72ms, mfu 107.63%
iter 3460: loss 3.6501, time 156.24ms, mfu 107.64%
iter 3470: loss 3.8368, time 156.73ms, mfu 107.62%
iter 3480: loss 4.0508, time 155.72ms, mfu 107.66%
iter 3490: loss 3.8388, time 155.54ms, mfu 107.72%
iter 3500: loss 3.8742, time 156.70ms, mfu 107.69%
iter 3510: loss 3.7907, time 156.03ms, mfu 107.71%
iter 3520: loss 3.9035, time 155.61ms, mfu 107.76%
iter 3530: loss 3.8007, time 156.12ms, mfu 107.76%
iter 3540: loss 3.7740, time 156.25ms, mfu 107.76%
iter 3550: loss 3.5745, time 156.87ms, mfu 107.71%
iter 3560: loss 3.8504, time 156.55ms, mfu 107.69%
iter 3570: loss 3.8393, time 155.65ms, mfu 107.74%
iter 3580: loss 3.9201, time 155.28ms, mfu 107.80%
iter 3590: loss 3.6493, time 156.18ms, mfu 107.80%
iter 3600: loss 3.8478, time 156.68ms, mfu 107.76%
iter 3610: loss 3.7742, time 156.57ms, mfu 107.74%
iter 3620: loss 3.7645, time 156.08ms, mfu 107.75%
iter 3630: loss 3.7731, time 155.56ms, mfu 107.79%
iter 3640: loss 3.8976, time 156.99ms, mfu 107.74%
iter 3650: loss 3.7372, time 155.68ms, mfu 107.78%
iter 3660: loss 3.7841, time 156.36ms, mfu 107.76%
iter 3670: loss 3.8849, time 155.70ms, mfu 107.80%
iter 3680: loss 3.8968, time 156.28ms, mfu 107.79%
iter 3690: loss 3.7811, time 156.45ms, mfu 107.77%
iter 3700: loss 3.8074, time 155.65ms, mfu 107.81%
iter 3710: loss 3.8111, time 156.55ms, mfu 107.78%
iter 3720: loss 3.7622, time 155.35ms, mfu 107.83%
iter 3730: loss 3.8718, time 156.96ms, mfu 107.77%
iter 3740: loss 3.6438, time 156.87ms, mfu 107.73%
iter 3750: loss 3.5759, time 156.09ms, mfu 107.74%
iter 3760: loss 3.5205, time 155.94ms, mfu 107.76%
iter 3770: loss 3.9384, time 155.97ms, mfu 107.78%
iter 3780: loss 3.8783, time 156.08ms, mfu 107.78%
iter 3790: loss 3.7821, time 156.24ms, mfu 107.78%
iter 3800: loss 3.8207, time 156.01ms, mfu 107.79%
iter 3810: loss 3.8891, time 156.94ms, mfu 107.74%
iter 3820: loss 3.8084, time 156.72ms, mfu 107.70%
iter 3830: loss 3.5883, time 156.20ms, mfu 107.71%
iter 3840: loss 3.8258, time 155.77ms, mfu 107.74%
iter 3850: loss 3.9204, time 156.09ms, mfu 107.75%
iter 3860: loss 3.7384, time 155.63ms, mfu 107.79%
iter 3870: loss 3.4568, time 155.71ms, mfu 107.82%
iter 3880: loss 3.7255, time 155.84ms, mfu 107.84%
iter 3890: loss 3.7736, time 155.92ms, mfu 107.85%
iter 3900: loss 3.5904, time 156.24ms, mfu 107.84%
iter 3910: loss 3.4822, time 155.53ms, mfu 107.88%
iter 3920: loss 3.6971, time 155.87ms, mfu 107.89%
iter 3930: loss 3.8454, time 156.50ms, mfu 107.86%
iter 3940: loss 3.7425, time 156.37ms, mfu 107.84%
iter 3950: loss 3.8116, time 155.91ms, mfu 107.85%
iter 3960: loss 3.8173, time 157.11ms, mfu 107.78%
iter 3970: loss 3.6369, time 155.80ms, mfu 107.80%
iter 3980: loss 3.8784, time 155.73ms, mfu 107.83%
iter 3990: loss 3.7398, time 157.32ms, mfu 107.75%
step 4000: train loss 3.7268, val loss 3.7908
saving checkpoint to out_openwebtext
iter 4000: loss 3.5725, time 5030.73ms, mfu 97.31%
iter 4010: loss 3.6048, time 155.58ms, mfu 98.40%
iter 4020: loss 3.7053, time 157.10ms, mfu 99.27%
iter 4030: loss 3.7563, time 156.95ms, mfu 100.07%
iter 4040: loss 3.7117, time 156.09ms, mfu 100.85%
iter 4050: loss 3.7814, time 156.15ms, mfu 101.54%
iter 4060: loss 3.9536, time 155.89ms, mfu 102.18%
iter 4070: loss 3.6982, time 155.49ms, mfu 102.79%
iter 4080: loss 3.7056, time 155.85ms, mfu 103.31%
iter 4090: loss 3.3127, time 155.80ms, mfu 103.79%
iter 4100: loss 3.7624, time 156.00ms, mfu 104.20%
iter 4110: loss 3.7999, time 155.98ms, mfu 104.57%
iter 4120: loss 3.7599, time 156.21ms, mfu 104.89%
iter 4130: loss 3.6817, time 155.65ms, mfu 105.21%
iter 4140: loss 3.6331, time 156.62ms, mfu 105.44%
iter 4150: loss 3.7322, time 156.52ms, mfu 105.65%
iter 4160: loss 3.6545, time 156.32ms, mfu 105.85%
iter 4170: loss 3.6382, time 156.35ms, mfu 106.03%
iter 4180: loss 3.3795, time 155.73ms, mfu 106.24%
iter 4190: loss 3.7987, time 156.64ms, mfu 106.36%
iter 4200: loss 3.6631, time 155.90ms, mfu 106.52%
iter 4210: loss 3.8124, time 156.96ms, mfu 106.59%
iter 4220: loss 3.6224, time 155.61ms, mfu 106.75%
iter 4230: loss 3.6982, time 155.87ms, mfu 106.87%
iter 4240: loss 3.5941, time 155.83ms, mfu 106.99%
iter 4250: loss 3.7501, time 158.20ms, mfu 106.93%
iter 4260: loss 3.6506, time 156.10ms, mfu 107.02%
iter 4270: loss 3.7906, time 155.98ms, mfu 107.11%
iter 4280: loss 3.6888, time 156.14ms, mfu 107.18%
iter 4290: loss 3.7310, time 156.32ms, mfu 107.23%
iter 4300: loss 3.7978, time 155.26ms, mfu 107.35%
iter 4310: loss 3.6344, time 156.13ms, mfu 107.39%
iter 4320: loss 3.7837, time 156.72ms, mfu 107.39%
iter 4330: loss 3.6338, time 156.04ms, mfu 107.44%
iter 4340: loss 3.7107, time 157.04ms, mfu 107.42%
iter 4350: loss 3.7350, time 155.77ms, mfu 107.48%
iter 4360: loss 3.8474, time 155.78ms, mfu 107.54%
iter 4370: loss 3.6686, time 155.65ms, mfu 107.60%
iter 4380: loss 3.7671, time 155.30ms, mfu 107.68%
iter 4390: loss 3.4074, time 157.02ms, mfu 107.63%
iter 4400: loss 3.5997, time 156.12ms, mfu 107.65%
iter 4410: loss 3.5576, time 155.61ms, mfu 107.70%
iter 4420: loss 3.8636, time 156.39ms, mfu 107.69%
iter 4430: loss 3.6447, time 156.19ms, mfu 107.70%
iter 4440: loss 3.6214, time 156.16ms, mfu 107.71%
iter 4450: loss 3.5508, time 155.43ms, mfu 107.77%
iter 4460: loss 3.6821, time 155.81ms, mfu 107.79%
iter 4470: loss 3.6995, time 155.47ms, mfu 107.84%
